;AUT;CMUNI;CONEIX_ABASCAL;CONEIX_CASADO;CONEIX_IGLESIAS;CONEIX_RIVERA;CONEIX_SANCHEZ;CP;EDAT;EDATCOD;ESTUDIS;HABI;IDEOLOGIA;ID_AUT;ID_CONEIX_ABASCAL;ID_CONEIX_CASADO;ID_CONEIX_IGLESIAS;ID_CONEIX_RIVERA;ID_CONEIX_SANCHEZ;ID_CONTACTO;ID_EDATCOD;ID_ESTUDIS;ID_HABI;ID_IDEOLOGIA;ID_IMP_ELEC;ID_INT_GEN;ID_INT_SIMP_GEN;ID_OCUPACIO;ID_PERTINEN;ID_PREFER_POLITIC;ID_PROB_VOT_GEN;ID_REC_GEN;ID_SEXE;ID_SIMP_GEN;IMP_ELEC;INT_GEN;INT_SIMP_GEN;OCUPACIO;PERTINEN;PREFER_POLITIC;PROB_VOT_GEN;REC_GEN;REGISTRO;SEXE;SIMP_GEN;TIP_TEL;VAL_ABASCAL;VAL_CASADO;VAL_IGLESIAS;VAL_RIVERA;VAL_SANCHEZ
162;Extremadura;99995;Sí;Sí;Sí;Sí;Sí;10570;35;De 30 a 44 años;Obligatorios;Hasta 10.000;Centro izquierda;11;1;1;1;1;1;4394512;2;2;1;2;1;2;2;1;3;97;1;5;1;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;Unidos Podemos;868;Hombre; ;Móviles aleatorios;0.0;0.0;4.0;2.0;6.0
163;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;3650;63;De 60 y más años;Obligatorios;Hasta 10.000;Derecha;10;1;1;1;1;1;4375777;4;2;1;5;2;4;4;1;1;4;1;1;1;;Bastante importantes;C's;C's;Trabajador;Únicamente español;Albert Rivera;Votaría seguro;PP;869;Hombre; ;Móviles aleatorios;8.797266514806378;8.0;0.0;9.0;0.0
164;Aragón;50297;Sí;Sí;Sí;Sí;Sí;50017;62;De 60 y más años;Postobligatorios;Más de 500.000;Centro derecha;2;1;1;1;1;1;4394359;4;3;4;4;2;99;97;1;3;99;1;96;1;97.0;Bastante importantes;No contesta;Ninguno;Trabajador;Tan español como de su comunidad;No contesta;Votaría seguro;En blanco;872;Hombre;Ninguno;Móviles aleatorios;4.0;5.0;0.0;7.0;2.0
165;País Vasco;99995;No;Sí;Sí;Sí;Sí;48191;62;De 60 y más años;Postobligatorios;Hasta 10.000;Izquierda;16;2;1;1;1;1;4373103;4;3;1;1;2;97;97;6;3;2;4;97;2;97.0;Bastante importantes;No votaría;Ninguno;Jubilado, pensionista;Tan español como de su comunidad;Pedro Sánchez;Seguro que no votaría;No votó;876;Mujer;Ninguno;Móviles aleatorios;3.093561417800859;3.0;6.0;5.0;7.0
166;Galicia;99995;Sí;Sí;Sí;Sí;Sí;27400;63;De 60 y más años;Obligatorios;De 10.001 a 100.000;Centro;12;1;1;1;1;1;4391626;4;2;2;3;1;4;4;6;3;4;1;4;1;;Muy importantes;C's;C's;Jubilado, pensionista;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;902;Hombre; ;Móviles aleatorios;4.0;6.0;4.0;7.0;5.0
167;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28035;61;De 60 y más años;Postobligatorios;Más de 500.000;Izquierda;13;1;1;1;1;1;4388186;4;3;4;1;2;5;5;6;1;5;1;5;1;;Bastante importantes;Unidos Podemos;Unidos Podemos;Jubilado, pensionista;Únicamente español;Pablo Iglesias;Votaría seguro;Unidos Podemos;907;Hombre; ;Móviles aleatorios;0.0;0.0;6.0;0.0;4.0
168;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;34004;40;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro;7;1;1;1;1;1;4391658;2;5;2;3;1;4;4;1;3;4;1;4;2;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;912;Mujer; ;Móviles aleatorios;1.0;2.0;1.0;7.0;2.0
169;Comunitat Valenciana;46250;Sí;Sí;Sí;Sí;Sí;46008;68;De 60 y más años;Universitarios;Más de 500.000;Centro derecha;10;1;1;1;1;1;4390087;4;5;4;4;1;14;14;1;1;1;1;4;1;;Muy importantes;Vox;Vox;Trabajador;Únicamente español;Pablo Casado;Votaría seguro;C's;913;Hombre; ;Móviles aleatorios;7.0;8.0;3.0;8.0;4.0
170;Castilla - la Mancha;99995;Sí;Sí;Sí;Sí;Sí;19150;43;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro izquierda;8;1;1;1;1;1;4370654;2;5;2;2;1;2;2;1;3;2;1;96;2;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;En blanco;914;Mujer; ;Móviles aleatorios;8.797266514806378;7.0;7.0;9.0;7.0
171;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;37500;64;De 60 y más años;Universitarios;De 10.001 a 100.000;Derecha;7;1;1;1;1;1;4384918;4;5;2;5;1;14;14;6;3;14;1;1;1;;Muy importantes;Vox;Vox;Jubilado, pensionista;Tan español como de su comunidad;Santiago Abascal;Votaría seguro;PP;940;Hombre; ;Móviles aleatorios;8.0;7.0;1.0;6.0;4.0
172;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28420;31;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro izquierda;13;1;1;1;1;1;4393468;2;5;2;2;1;2;2;1;1;2;1;5;1;;Muy importantes;PSOE;PSOE;Trabajador;Únicamente español;Pedro Sánchez;Votaría seguro;Unidos Podemos;949;Hombre; ;Móviles aleatorios;2.0;2.0;2.0;2.0;7.0
173;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;18811;47;De 45 a 59 años;Obligatorios;Hasta 10.000;Centro derecha;1;1;1;1;1;1;4375566;3;2;1;4;1;1;1;1;3;1;1;1;1;;Muy importantes;PP;PP;Trabajador;Tan español como de su comunidad;Pablo Casado;Votaría seguro;PP;953;Hombre; ;Móviles aleatorios;5.0;10.0;0.0;8.0;0.0
174;Cantabria;99995;Sí;Sí;Sí;Sí;Sí;39611;47;De 45 a 59 años;Postobligatorios profesionales;De 10.001 a 100.000;Derecha;6;1;1;1;1;1;4390942;3;4;2;5;1;14;14;1;1;14;1;1;1;;Muy importantes;Vox;Vox;Trabajador;Únicamente español;Santiago Abascal;Votaría seguro;PP;954;Hombre; ;Móviles aleatorios;5.0;5.0;0.0;6.0;3.0
175;Extremadura;99995;Sí;Sí;Sí;Sí;Sí;6009;36;De 30 a 44 años;Postobligatorios;De 100.001 a 500.000;Centro derecha;11;1;1;1;1;1;4381837;2;3;3;4;1;4;4;1;3;4;1;1;1;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;PP;960;Hombre; ;Móviles aleatorios;8.797266514806378;6.0;3.0;7.0;4.0
176;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;23620;36;De 30 a 44 años;Obligatorios;Hasta 10.000;Derecha;1;1;1;1;1;1;4375446;2;2;1;5;2;14;14;1;3;14;1;1;1;;Bastante importantes;Vox;Vox;Trabajador;Tan español como de su comunidad;Santiago Abascal;Votaría seguro;PP;963;Hombre; ;Móviles aleatorios;10.0;5.0;0.0;5.0;0.0
177;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;9580;60;De 60 y más años;Postobligatorios profesionales;Hasta 10.000;Izquierda;7;1;1;1;1;1;4368415;4;4;1;1;1;2;2;1;5;2;1;2;1;;Muy importantes;PSOE;PSOE;Trabajador;Únicamente de su comunidad;Pedro Sánchez;Votaría seguro;PSOE;971;Hombre; ;Móviles aleatorios;3.0;3.0;6.0;4.0;6.0
178;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28053;64;De 60 y más años;Postobligatorios;Más de 500.000;Izquierda;13;1;1;1;1;1;4369863;4;3;4;1;1;2;2;6;1;2;1;2;2;;Muy importantes;PSOE;PSOE;Jubilado, pensionista;Únicamente español;Pedro Sánchez;Votaría seguro;PSOE;972;Mujer; ;Móviles aleatorios;0.0;1.0;9.0;0.0;10.0
179;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28044;66;De 60 y más años;Obligatorios;Más de 500.000;Izquierda;13;1;1;1;1;1;4375324;4;2;4;1;1;2;2;6;3;2;1;2;2;;Muy importantes;PSOE;PSOE;Jubilado, pensionista;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;PSOE;973;Mujer; ;Móviles aleatorios;0.0;0.0;6.0;2.0;10.0
180;Catalunya;8019;Sí;Sí;Sí;Sí;Sí;8002;29;De 18 a 29 años;Universitarios;Más de 500.000;Izquierda;9;1;1;1;1;1;4384758;1;5;4;1;2;99;95;1;98;97;1;8;2;95.0;Bastante importantes;No contesta;Otro partido;Trabajador;No sabe;Ninguno de estos;Votaría seguro;En Comú Podem;981;Mujer;Otro partido;Móviles aleatorios;0.0;0.0;6.0;1.0;6.0
181;Andalucía;41091;Sí;Sí;Sí;Sí;Sí;41003;48;De 45 a 59 años;Universitarios;Más de 500.000;Centro;1;1;1;1;1;1;4381311;3;5;4;3;1;98;98;1;3;4;1;2;1;98.0;Muy importantes;No sabe;No sabe;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;PSOE;984;Hombre;No sabe;Móviles aleatorios;7.0;7.0;1.0;8.0;4.0
182;Comunitat Valenciana;46250;No;Sí;Sí;Sí;Sí;46011;52;De 45 a 59 años;Universitarios;Más de 500.000;Derecha;10;2;1;1;1;1;4390482;3;5;4;5;1;1;1;5;1;1;1;97;2;;Muy importantes;PP;PP;Parado;Únicamente español;Pablo Casado;Votaría seguro;No votó;994;Mujer; ;Móviles aleatorios;3.093561417800859;6.0;0.0;0.0;0.0
183;Andalucía;41091;Sí;Sí;Sí;Sí;Sí;41007;58;De 45 a 59 años;Universitarios;Más de 500.000;Centro izquierda;1;1;1;1;1;1;4382042;3;5;4;2;1;2;2;1;3;2;1;2;2;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;PSOE;997;Mujer; ;Móviles aleatorios;8.797266514806378;7.656073808303434;6.0;5.0;8.0
184;Galicia;99995;Sí;Sí;Sí;Sí;Sí;36214;26;De 18 a 29 años;Postobligatorios profesionales;De 100.001 a 500.000;Centro izquierda;12;1;1;1;1;1;4373860;1;4;3;2;1;11;11;1;3;97;1;11;1;;Muy importantes;En marea;En marea;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;En marea;999;Hombre; ;Móviles aleatorios;2.0;4.0;5.0;4.0;4.0
185;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;48013;51;De 45 a 59 años;Universitarios;De 100.001 a 500.000;Izquierda;16;1;1;1;1;1;4381561;3;5;3;1;2;5;5;5;2;5;1;5;2;;Bastante importantes;Unidos Podemos;Unidos Podemos;Parado;Más español que de su comunidad;Pablo Iglesias;Votaría seguro;Unidos Podemos;1001;Mujer; ;Móviles aleatorios;1.0;3.0;8.0;7.0;8.0
186;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28050;49;De 45 a 59 años;Universitarios;Más de 500.000;Centro derecha;13;1;1;1;1;1;4395065;3;5;4;4;1;14;14;1;1;14;1;1;2;;Muy importantes;Vox;Vox;Trabajador;Únicamente español;Santiago Abascal;Votaría seguro;PP;1004;Mujer; ;Móviles aleatorios;7.0;5.0;0.0;5.0;3.0
187;Galicia;99995;Sí;Sí;Sí;Sí;Sí;27880;63;De 60 y más años;Postobligatorios;Hasta 10.000;No sabe;12;1;1;1;1;1;4379884;4;3;1;98;2;98;97;5;2;96;2;98;2;97.0;Bastante importantes;No sabe;Ninguno;Parado;Más español que de su comunidad;Indiferente;Probablemente votaría;No sabe / No recuerda;1005;Mujer;Ninguno;Móviles aleatorios;8.797266514806378;7.656073808303434;6.417505030181086;7.53522554485555;7.00701051577366
188;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28054;62;De 60 y más años;Universitarios;Más de 500.000;Centro izquierda;13;1;1;1;1;1;4385333;4;5;4;2;1;2;2;1;1;2;1;2;2;;Muy importantes;PSOE;PSOE;Trabajador;Únicamente español;Pedro Sánchez;Votaría seguro;PSOE;1009;Mujer; ;Móviles aleatorios;0.0;0.0;4.0;2.0;5.0
189;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;20700;19;De 18 a 29 años;Postobligatorios profesionales;Hasta 10.000;Izquierda;16;1;1;1;1;1;4368182;1;4;1;1;1;5;5;8;3;5;1;97;1;;Muy importantes;Unidos Podemos;Unidos Podemos;Estudiante;Tan español como de su comunidad;Pablo Iglesias;Votaría seguro;No votó;1011;Hombre; ;Móviles aleatorios;0.0;2.0;5.0;2.0;4.0
190;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;8571;31;De 30 a 44 años;Postobligatorios profesionales;Hasta 10.000;Izquierda;9;1;1;1;1;1;4376422;2;4;1;1;4;96;97;1;5;5;1;96;2;97.0;Nada importantes;En blanco;Ninguno;Trabajador;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;En blanco;1016;Mujer;Ninguno;Móviles aleatorios;0.0;0.0;3.0;0.0;3.0
191;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;46165;61;De 60 y más años;Postobligatorios;Hasta 10.000;Izquierda;10;1;1;1;1;1;4373121;4;3;1;1;1;2;2;1;3;2;2;13;1;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Probablemente votaría;Compromís + Podemos + IU;1018;Hombre; ;Móviles aleatorios;0.0;0.0;1.0;0.0;3.0
192;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;99999;19;De 18 a 29 años;Postobligatorios;Hasta 10.000;Centro;1;1;1;1;1;1;4395208;1;3;1;3;2;98;4;8;3;4;1;97;1;4.0;Bastante importantes;No sabe;C's;Estudiante;Tan español como de su comunidad;Albert Rivera;Votaría seguro;No votó;1019;Hombre;C's;Móviles aleatorios;4.0;3.0;0.0;6.0;1.0
193;Asturias, Principado de;99995;Sí;Sí;Sí;Sí;Sí;33450;33;De 30 a 44 años;Sin estudios obligatorios acabados;De 10.001 a 100.000;No contesta;3;1;1;1;1;1;4370273;2;1;2;99;1;4;4;1;3;97;1;4;1;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;C's;1029;Hombre; ;Móviles aleatorios;5.0;3.0;2.0;7.0;8.0
194;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;29640;36;De 30 a 44 años;Obligatorios;De 10.001 a 100.000;Centro derecha;1;1;1;1;1;1;4388331;2;2;2;4;1;14;14;1;3;4;1;4;1;;Muy importantes;Vox;Vox;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;1033;Hombre; ;Móviles aleatorios;8.0;7.0;3.0;8.0;6.0
195;Cantabria;99995;No;Sí;Sí;Sí;Sí;39005;54;De 45 a 59 años;Postobligatorios profesionales;De 100.001 a 500.000;Centro;6;2;1;1;1;1;4369145;3;4;3;3;1;4;4;1;3;4;1;1;2;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;PP;1035;Mujer; ;Móviles aleatorios;3.093561417800859;5.0;3.0;6.0;3.0
196;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;17134;62;De 60 y más años;Postobligatorios profesionales;Hasta 10.000;Izquierda;9;1;1;1;1;1;4375175;4;4;1;1;1;99;97;7;3;97;1;8;2;97.0;Muy importantes;No contesta;Ninguno;Tareas del hogar;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;En Comú Podem;1037;Mujer;Ninguno;Móviles aleatorios;0.0;0.0;6.0;0.0;6.0
197;Aragón;99995;Sí;Sí;Sí;Sí;Sí;50296;73;De 60 y más años;Obligatorios;Hasta 10.000;No sabe;2;1;1;1;1;1;4380168;4;2;1;98;2;98;1;7;1;97;2;1;2;1.0;Bastante importantes;No sabe;PP;Tareas del hogar;Únicamente español;Ninguno de estos;Probablemente votaría;PP;1045;Mujer;PP;Móviles aleatorios;8.797266514806378;5.0;1.0;5.0;3.0
198;País Vasco;99995;Sí;Sí;Sí;Sí;Sí;20720;33;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Izquierda;16;1;1;1;1;1;4393860;2;5;2;1;1;10;10;1;5;5;1;10;2;;Muy importantes;EH Bildu;EH Bildu;Trabajador;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;EH Bildu;1046;Mujer; ;Móviles aleatorios;0.0;0.0;6.0;0.0;3.0
199;Andalucía;99995;No;Sí;Sí;Sí;Sí;29730;51;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Derecha;1;2;1;1;1;1;4386649;3;5;2;5;1;1;1;1;3;97;1;1;2;;Muy importantes;PP;PP;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;PP;1052;Mujer; ;Móviles aleatorios;3.093561417800859;6.0;0.0;7.0;4.0
200;Andalucía;99995;No;No;Sí;Sí;Sí;11008;65;De 60 y más años;Obligatorios;De 100.001 a 500.000;No sabe;1;2;2;1;1;1;4388425;4;2;3;98;4;1;1;6;3;4;1;1;2;;Nada importantes;PP;PP;Jubilado, pensionista;Tan español como de su comunidad;Albert Rivera;Votaría seguro;PP;1057;Mujer; ;Móviles aleatorios;3.093561417800859;3.894485893630233;0.0;8.0;0.0
201;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;29640;38;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro;1;1;1;1;1;1;4369016;2;5;2;3;3;99;95;1;99;97;1;98;1;95.0;Poco importantes;No contesta;Otro partido;Trabajador;No contesta;Ninguno de estos;Votaría seguro;No sabe / No recuerda;1065;Hombre;Otro partido;Móviles aleatorios;1.0;3.0;0.0;1.0;0.0
202;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;99998;74;De 60 y más años;Sin estudios obligatorios acabados;Hasta 10.000;Izquierda;10;1;1;1;1;1;4390630;4;1;1;1;2;99;13;6;4;5;1;13;2;13.0;Bastante importantes;No contesta;Compromís + Podemos + IU;Jubilado, pensionista;Más de su comunidad que español;Pablo Iglesias;Votaría seguro;Compromís + Podemos + IU;1066;Mujer;Compromís + Podemos + IU;Móviles aleatorios;0.0;2.0;10.0;2.0;8.0
203;Galicia;99995;No;Sí;Sí;No;Sí;15010;60;De 60 y más años;Postobligatorios;De 100.001 a 500.000;Izquierda;12;2;1;1;2;1;4377275;4;3;3;1;3;97;2;6;3;2;4;2;1;2.0;Poco importantes;No votaría;PSOE;Jubilado, pensionista;Tan español como de su comunidad;Pedro Sánchez;Seguro que no votaría;PSOE;1068;Hombre;PSOE;Móviles aleatorios;3.093561417800859;0.0;5.0;4.454059863915515;10.0
204;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28010;28;De 18 a 29 años;Universitarios;Más de 500.000;Centro;13;1;1;1;1;1;4383010;1;5;4;3;1;98;4;1;3;4;1;4;1;4.0;Muy importantes;No sabe;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;1071;Hombre;C's;Móviles aleatorios;0.0;1.0;6.0;6.0;7.0
205;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28922;57;De 45 a 59 años;Universitarios;De 100.001 a 500.000;Centro derecha;13;1;1;1;1;1;4381903;3;5;3;4;1;98;4;6;1;4;1;1;2;4.0;Muy importantes;No sabe;C's;Jubilado, pensionista;Únicamente español;Albert Rivera;Votaría seguro;PP;1078;Mujer;C's;Móviles aleatorios;5.0;7.0;1.0;8.0;2.0
206;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;11330;36;De 30 a 44 años;Universitarios;Hasta 10.000;Centro izquierda;1;1;1;1;1;1;4388076;2;5;1;2;1;2;2;1;3;2;1;2;1;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;PSOE;1085;Hombre; ;Móviles aleatorios;0.0;0.0;0.0;0.0;10.0
207;Comunitat Valenciana;99995;Sí;Sí;No;Sí;Sí;3680;87;De 60 y más años;Obligatorios;De 10.001 a 100.000;Izquierda;10;1;1;2;1;1;4374096;4;2;2;1;1;98;13;6;3;2;1;13;1;13.0;Muy importantes;No sabe;Compromís + Podemos + IU;Jubilado, pensionista;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;Compromís + Podemos + IU;1101;Hombre;Compromís + Podemos + IU;Móviles aleatorios;8.797266514806378;3.0;3.689453117092898;3.0;5.0
208;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;8790;58;De 45 a 59 años;Postobligatorios profesionales;Hasta 10.000;No contesta;9;1;1;1;1;1;4391947;3;4;1;99;4;97;97;1;99;97;4;97;1;97.0;Nada importantes;No votaría;Ninguno;Trabajador;No contesta;Ninguno de estos;Seguro que no votaría;No votó;1102;Hombre;Ninguno;Móviles aleatorios;0.0;0.0;0.0;0.0;0.0
209;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28232;45;De 45 a 59 años;Universitarios;De 10.001 a 100.000;Centro izquierda;13;1;1;1;1;1;4387611;3;5;2;2;1;4;4;1;3;4;1;4;2;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;1108;Mujer; ;Móviles aleatorios;2.0;4.0;3.0;6.0;5.0
210;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;18002;46;De 45 a 59 años;Universitarios;De 100.001 a 500.000;Izquierda;1;1;1;1;1;1;4378240;3;5;3;1;1;5;5;1;3;5;1;5;1;;Muy importantes;Unidos Podemos;Unidos Podemos;Trabajador;Tan español como de su comunidad;Pablo Iglesias;Votaría seguro;Unidos Podemos;1112;Hombre; ;Móviles aleatorios;0.0;1.0;8.0;3.0;5.0
211;Balears, Illes;99995;Sí;Sí;Sí;Sí;Sí;7820;31;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro;4;1;1;1;1;1;4371728;2;5;2;3;2;4;4;1;3;4;1;4;1;;Bastante importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;1125;Hombre; ;Móviles aleatorios;4.0;4.0;4.0;8.0;4.0
212;Aragón;50297;Sí;Sí;Sí;Sí;Sí;50620;31;De 30 a 44 años;Obligatorios;Más de 500.000;Derecha;2;1;1;1;1;1;4376263;2;2;4;5;1;14;14;1;3;14;1;5;1;;Muy importantes;Vox;Vox;Trabajador;Tan español como de su comunidad;Santiago Abascal;Votaría seguro;Unidos Podemos;1134;Hombre; ;Móviles aleatorios;9.0;7.0;0.0;3.0;0.0
213;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28905;70;De 60 y más años;Obligatorios;De 100.001 a 500.000;Izquierda;13;1;1;1;1;1;4373131;4;2;3;1;3;4;4;6;1;4;1;4;2;;Poco importantes;C's;C's;Jubilado, pensionista;Únicamente español;Albert Rivera;Votaría seguro;C's;1137;Mujer; ;Móviles aleatorios;8.797266514806378;6.0;3.0;8.0;6.0
214;Comunitat Valenciana;99995;Sí;Sí;Sí;Sí;Sí;3300;72;De 60 y más años;Sin estudios obligatorios acabados;De 10.001 a 100.000;Centro izquierda;10;1;1;1;1;1;4379104;4;1;2;2;2;4;4;6;1;4;1;4;2;;Bastante importantes;C's;C's;Jubilado, pensionista;Únicamente español;Albert Rivera;Votaría seguro;C's;1142;Mujer; ;Móviles aleatorios;7.0;7.0;0.0;10.0;0.0
215;Castilla y León;99995;No;Sí;Sí;Sí;Sí;40006;58;De 45 a 59 años;Postobligatorios;De 10.001 a 100.000;No sabe;7;2;1;1;1;1;4383744;3;3;2;98;2;14;14;1;1;1;2;4;1;;Bastante importantes;Vox;Vox;Trabajador;Únicamente español;Pablo Casado;Probablemente votaría;C's;1158;Hombre; ;Móviles aleatorios;3.093561417800859;7.0;0.0;8.0;3.0
216;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28045;43;De 30 a 44 años;Universitarios;Más de 500.000;Centro izquierda;13;1;1;1;1;1;4370906;2;5;4;2;1;2;2;1;3;97;1;2;2;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Ninguno de estos;Votaría seguro;PSOE;1165;Mujer; ;Móviles aleatorios;10.0;3.0;3.0;3.0;5.0
217;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;49542;63;De 60 y más años;Obligatorios;Hasta 10.000;Centro izquierda;7;1;1;1;1;1;4392325;4;2;1;2;1;14;14;6;2;2;1;2;1;;Muy importantes;Vox;Vox;Jubilado, pensionista;Más español que de su comunidad;Pedro Sánchez;Votaría seguro;PSOE;1171;Hombre; ;Móviles aleatorios;7.0;0.0;2.0;3.0;10.0
218;Catalunya;99995;Sí;Sí;Sí;Sí;Sí;8600;51;De 45 a 59 años;Postobligatorios profesionales;De 10.001 a 100.000;Izquierda;9;1;1;1;1;1;4379379;3;4;2;1;1;98;7;1;5;5;1;6;2;7.0;Muy importantes;No sabe;ERC;Trabajador;Únicamente de su comunidad;Pablo Iglesias;Votaría seguro;CDC;1177;Mujer;ERC;Móviles aleatorios;2.0;0.0;5.0;0.0;2.0
219;Andalucía;99995;Sí;Sí;Sí;Sí;Sí;41089;44;De 30 a 44 años;Postobligatorios;De 100.001 a 500.000;Izquierda;1;1;1;1;1;1;4387779;2;3;3;1;1;98;4;5;3;4;1;2;2;4.0;Muy importantes;No sabe;C's;Parado;Tan español como de su comunidad;Albert Rivera;Votaría seguro;PSOE;1181;Mujer;C's;Móviles aleatorios;0.0;0.0;0.0;1.0;0.0
220;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28028;54;De 45 a 59 años;Postobligatorios profesionales;Más de 500.000;Centro izquierda;13;1;1;1;1;1;4389454;3;4;4;2;1;2;2;1;3;2;1;2;1;;Muy importantes;PSOE;PSOE;Trabajador;Tan español como de su comunidad;Pedro Sánchez;Votaría seguro;PSOE;1185;Hombre; ;Móviles aleatorios;0.0;1.0;4.0;5.0;7.0
221;Asturias, Principado de;99995;Sí;Sí;Sí;Sí;Sí;33401;34;De 30 a 44 años;Postobligatorios profesionales;De 10.001 a 100.000;Centro derecha;3;1;1;1;1;1;4383475;2;4;2;4;2;4;4;1;3;4;1;4;2;;Bastante importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;1190;Mujer; ;Móviles aleatorios;7.0;7.0;8.0;9.0;6.0
222;Madrid, Comunidad de;99995;Sí;Sí;Sí;Sí;Sí;28300;34;De 30 a 44 años;Universitarios;De 10.001 a 100.000;Centro derecha;13;1;1;1;1;1;4394212;2;5;2;4;1;4;4;1;3;4;1;4;1;;Muy importantes;C's;C's;Trabajador;Tan español como de su comunidad;Albert Rivera;Votaría seguro;C's;1194;Hombre; ;Móviles aleatorios;5.0;5.0;0.0;7.0;2.0
223;Madrid, Comunidad de;28079;Sí;Sí;Sí;Sí;Sí;28025;48;De 45 a 59 años;Obligatorios;Más de 500.000;Derecha;13;1;1;1;1;1;4389849;3;2;4;5;1;14;14;6;1;14;1;1;1;;Muy importantes;Vox;Vox;Jubilado, pensionista;Únicamente español;Santiago Abascal;Votaría seguro;PP;1195;Hombre; ;Móviles aleatorios;10.0;8.0;0.0;2.0;0.0
224;Castilla y León;99995;Sí;Sí;Sí;Sí;Sí;37185;45;De 45 a 59 años;Universitarios;Hasta 10.000;Centro derecha;7;1;1;1;1;1;4391028;3;5;1;4;1;4;4;1;1;4;1;1;2;;Muy importantes;C's;C's;Trabajador;Únicamente español;Albert Rivera;Votaría seguro;PP;1203;Mujer; ;Móviles aleatorios;5.0;8.0;1.0;8.0;3.0
